State,make,model,index
IL,AUDI,A7,0
IN,AUDI,A7,0
KS,AUDI,A7,0
KY,AUDI,A7,0
LA,AUDI,A7,0
MA,AUDI,A7,0
MD,AUDI,A7,0
ME,AUDI,A7,1.77
MI,AUDI,A7,0
MN,AUDI,A7,0
MO,AUDI,A7,0
MS,AUDI,A7,0
MT,AUDI,A7,0
NC,AUDI,A7,0
ND,AUDI,A7,0
NE,AUDI,A7,0
NH,AUDI,A7,3.1
NJ,AUDI,A7,0
NM,AUDI,A7,0
NV,AUDI,A7,0
NY,AUDI,A7,0
OH,AUDI,A7,0
OK,AUDI,A7,0
OR,AUDI,A7,0
PA,AUDI,A7,0
RI,AUDI,A7,0
SC,AUDI,A7,0
SD,AUDI,A7,0
TN,AUDI,A7,0
TX,AUDI,A7,0
UT,AUDI,A7,0
VA,AUDI,A7,0
VT,AUDI,A7,0
WA,AUDI,A7,0
WI,AUDI,A7,0
WV,AUDI,A7,0
